Réponse (French),(A),(AD),(H),(HD),A,ABS,AD,ALIM,ANAT,ARCH,ART,BOT,ELEM,FRAG,GÉO,H,HD,MQ,NAT,OBJ,PAYS,RADIO,SC,SCÈNE,SEX,SG,VÊT
"Euh alors, on pourrait voir euh…, deux animaux de chaque côté, alors après je sais pas trop quoi, mais bon à quatre pattes, des animaux à quatre pattes, après je quoi je sais pas trop quoi comme sortes d’animaux mais voilà des animaux.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euh, ça pourrait être aussi un, au milieu donc euh un corps d’insecte voire peut-être un corps d’humain mais bon, faut être un peu imaginaire. Euh.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Voilà si avec la colonne vertébrale au-dessus, fin sur le milieu.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bon après ça peut être des roches, ça peut être euh., ça peut être des roches que les animaux montent dessus.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ça peut être ou des arbres ou de la végétation, ça peut être euh… Oui.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euh si, ça pourrait être toujours un insecte bien-sûr fin…",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"On pourrait imaginer une guitare au milieu. 

Euh. 
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Deux visages un peu…, pas très nets, de chaque côté en vert.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"On pourrait revoir un visage avec un petit corps, et puis de même de l’autre côté. C’est vraiment les yeux qui pourraient me faire penser…, avec le nez fin. Les nuances font ressortir des éléments du visage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Bah, on pourrait voir euh > < ^ des sortes d’araignées on pourrait voir. >",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Deux visages qui, pareil, face à face, qui se regardent. Avec un corps allongé fin, un peu, bon voilà bien-sûr imaginaire.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Une euh, (soupir) un outil, une pince, fin une pince… Euh.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Bah après c’est beaucoup euh fin, ouais des sortes d’araignées, araignées ou toiles d’araignées.",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ça pourrait être aussi des feuilles, des feuilles d’arbre fin…",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"On pourrait voir quatre visages là, fin deux de plus, alors là par contre qui ne se regardent pas, qui sont dos à dos.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Je pourrais même dire encore plus (rires), euh, alors y’aurait quatre visages dos à dos, non même six. Et euh, quatre visages face à face qui se regardent. ^

Voilà, c’est tout bien.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Une chauve-souris,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Un scarabée,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Une tache d'encre non de sang... ouais,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
On dirait que c’est une chauve-souris qui prend son envol et un scarabée en bas,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Un monstre avec les yeux, la bouche et qui me regarde méchamment. Comme le clown de … vous savez Ça",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Oh ! Du sang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
L’os qu’on a dans le crâne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Des taches de sang par exemple comme si on s’était scarifié et qu’on avait écrit sur un mur avec [mime la scarification sur le bras],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Deux petites têtes de cochons. Oui il y a ça.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comme si ça c’était des empreintes de pas et ça le sang qu’on a quand on s’est scarifié et ça a un peu goutté sur les pas.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Un avion de chasse qui fait penser à l’armée, la guerre d’où le sang peut être.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Comme si les deux petits cochons se tapaient dans la main.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Un brouillard, des formes de monstres derrière où il y a le négatif, un brouillard qui cacherait certaines parties",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Un papillon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Il y a toujours ces taches de sang après une … comme après une scarification, le sang coule alors qu’avant j’ai dit que le sang était mis sur le mur mais ici ça coule [mime la scarification sur le bras et le sang qui coule]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
La papillon est comme le sternum et ça le monstre qui m’emprisonne en permanence.,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J’ai l’impression que c’est une représentation de mon corps, le cœur autour avec une ficelle, un cœur broyé.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Le monstre pour la dépression et le brouillard pour le fait que je suis perdu ou le masque pour montrer que je vais bien.,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Je vois un énorme monstre. C’est la bête noire que j’ai au fond de moi avec la tête. Pour moi c’est la colère, la rage que j’ai au fond de moi. J’ai presque peur.",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C’est toute la noirceur, le vide, la noirceur que je ressens en permanence. Elle fait peur celle-là.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Un monstre qui veut et qui m’engloutit. Elle fait peur celle-là.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Je dirais un papillon qui vient à peine d’être transformé entre la larve et le papillon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Je vois des ailes. Je ne sais pas sur celle-là.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Des ailes d’un papillon qui vient de se transformer qui part dans la vie mais il est noir. On dirait qu’il va affronter la vie mais pas tout à fait affronter car il est tout noir et n’a pas encore ses couleurs. C’est un peu moi face au monde extérieur. Il y a ce monstre d’avant qui m’empêche de prendre mon envol.

Voilà.",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Une épée … le noir est moins intense.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Je
vois le monstre d’avant [planche IV] comme si le papillon d’avant [planche V]
comme si l’épée était plantée dans le monstre et passait par le papillon qui
représenterait mon cœur.",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
J’ai l’impression que ça représente quand j’ai des crises d’angoisse …,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Un couteau planté dans mon cœur. Il y a trop de noir, avant il y avait du rouge et de l’espace. Il n’y a plus d’espace, tout est noir, le cœur a été traversé par une épée.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ça représente la mort puisque l’épée est en forme de croix … planter l’épée dans le cœur c’est tuer quelqu’un. C’est comme quand j’ai mes crises d’angoisse. Je pourrais l’afficher au mur et dire que c’est mes crises d’angoisse.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
L’épée a une forme de croix mais et est vivante comme s’il avait une force supérieure qui déciderait et pas ma volonté comme si ça dépendait d’autre chose,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hm … Je sais pas … ça m’angoisse un peu … l’image à trop de blanc et le noir n’est pas assez noir. Ça me fait penser à l’air car l’espace paraît fluide.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C’est la liberté qu’on respire frais le matin

Ouais franchement je ne sais pas

Elle [la planche] paraît innocente, ce gris est innocent par rapport aux autres images.

Je crois que c’est ce que cherchait, cette sensation de liberté que je n’ai pas connue. C’est ça qui me perturbe.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Oh beaucoup de couleurs ! Des petites marmottes sur le côté,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Un crâne … os de chien. C’est coloré. Cette carte ne me comprend pas du tout. Limite ça m’angoisse car c’est ce que je n’ai jamais connu.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon corps qui se bataille et m’angoisse. Ce sont toutes les choses inaccessibles.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Encore de la couleur [plisse les yeux pour montrer son mécontentement ou son malaise mais sourit] Des bois de cerf
",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Une fusée qui décolle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"L’avancée de la vie. Le rose des bébés. C’est la route de la vie et on arrive à l’orange, le côté rouge, sang de la mort",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La porte ouverte vers la suite. La vie après la mort enfin le paradis ou l’enfer … selon les croyances. Elle est positive cette image. Elle ne me fait pas vibrer comme les autres où je ressentais l’image. Ça me paraît tellement loin de moi.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Et encore le papillon là. Je sais pas,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ça me fait penser aussi à la liberté, pleine de comme …",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vu qu’il y a plusieurs couleurs, c’est le fait d’être heureux, s’émerveiller devant chaque détail de la vie.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le rose comme si la vie est belle.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Le rose des marmottes comme quand les bébés naissants, ils sont un peu violacés. J’ai du mal sur cette plan [commence à dire le mot planche sans terminer le mot] … les couleurs

Je sais pas … franchement je sais pas
",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Elle est belle celle-là
Un champ de fleurs
",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Des feux d’artifice. Avec ces différentes couleurs, cela me fait penser à savourer les petits moments de la vie vous savez comme quand on dit de profiter des petits moments dans la vie.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"C’est une image positive que j’arrive à accepter. Je ne suis pas choquée comme pour les autres, où il y avait comme une barrière. Celle-là m’inspire le positif, la vie avec un grand V si je puis dire, le fait d’aller mieux comme si la vie est un bouquet final avec des moments où ça pétille et des moments où ça pétille moins. J’aime bien cette image.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Et on pourrait dire que les lignes roses sont le parcours que je fais ici en tout cas, comme si je renaissais.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Là je vois des oiseaux.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Le vert, des arbres, la sensation de calme en forêt


C’est apaisant je trouve [la planche]
",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Je vois plein de choses en même temps… Des sortes de fées.
  Ca ressemble pas à grand-chose
  Des fées sur une fontaine ou qui transportent une robe
 C’est stressant un peu !
 
 
 Et comment on fait les tâches ?",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Un chemin qui mène à un château avec des escaliers.
 J’ai de l’imagination, quand même !",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Non c’est pas des cochons… un sorte de lapin, non, des ânes, des bébés ânes.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Et des mains… qui portent un verre.
 
 J’ai de l’imagination, quand même !",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ah ! Ca fait peur !Je viens de penser à un truc bizarre. Deux femmes qui se regardent.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Un papillon au milieu.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Des sortes de fourmis ou d’insectes. Elles ont un bec, des madames oiseaux.
 
 C’est bizarre et stressant en même temps.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"*Rit* Grimace* J’arrive pas à voir. Une sorte d’alien avec une grosse veste. Oui, c’est ça. La reine des aliens.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Un sorte d’insecte qui vole. Oui, un papillon. Non, pas vraiment, une créature qui peut voler.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Un insecte qui sort d’un trou, une sorte de créature marine qui sort d’un trou…",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qui sort de la bouche d’un gros animal.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J’arrive pas à voir, on dirait un sorte de grand truc, de portail. On passe dessous…",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qui tient avec des lions en robe.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Waouh c’est coloré ! C’est le reflet d’un animal sur l’eau, qui est en train de marcher.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y a une explosion, on voit l’explosion sortir du trou, une explosion de couleurs. Pfiou ! Du rose. Ca c’est le volcan, ce qu’il y a à l’intérieur, et ça l’explosion.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"J’arrive pas à voir ce que c’est. On dirait… pas des pélicans, les trucs roses de mer. Heu… je sais plus comment ça s’appelle. Un animal de mer avec une tête de singe qui souffle dans un coquillage pour faire du bruit.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Et des petites souris plus loin.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Un insecte avec deux grandes ailes, petites mandibules. C'est dur de voir autre chose, quand on a déjà vu quelque chose.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pas des masses... à la limite un casque de guerrier antique.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Moi qui pensais avoir de l'imagination ! Deux jambes serrées, avec les contours, deux gros croquenots, un peu style B.D.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Les deux taches rouges, deux profils qui se regardent : oeil, sourcil, narine.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Elle ne m'inspire pas grand-chose. Une tête d'insecte avec des antennes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ah ! Un sexe de femme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Et en dessous le bout d'un sexe d'homme avec le prépuce remonté... Je n'avais pas fait gaffe.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ça c'est rigolo ! Les taches noires, deux Africaines en train de moudre le mil.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ça on dirait un peu deux guitares électriques.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Dans l'autre sens, encore un insecte : tête, mandibules, pattes de chaque côté.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dans les deux sens, aussi une tête d'insecte, c'est le côté déchiqueté des formes qui doit faire ça.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Une caricature de la botte italienne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Une tête de chien avec le museau et les babines,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deux têtes d'éléphants avec la trompe qui monte.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"En haut, deux têtes de dromadaire avec l'avancée de l'arcade sourcilière.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Un papillon.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Une chauve-souris,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Un goéland qui crie, les ailes ouvertes.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Un lapin écrasé sur la route, oreilles et pattes",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ça pourrait être une peau de bête, tête, museau, moustache. Je ne vois que des animaux.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C'est dur de voir un avion à réaction là-dedans.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"En haut, deux poings avec le pouce levé.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Deux personnages qui se tournent le dos. Ils sont de profil, mèche en avant baissant légèrement la tête.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Un animal qui saute, qui enjambe quelque chose, un félin.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Une fleur d'orchidée,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Un sexe de femme avec le pubis.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"A la limite, les deux taches vertes, des profils d'ours avec la petite oreille.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Un homme qui descend du ciel avec de grandes ailes, qui va atterrir, un cosmonaute. A la place du parachute il y a les ailes.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Au milieu un visage dessiné par un enfant : les yeux jaunes, les sourciles, la bouche.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"C'est marrant, ce dessin... Quelque chose de... en rapport avec la cosmogonie, la galaxie, un feu d'artifice.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ça pourrait être le visage du diable avec des cornes et, au-dessus un ange, un ange déchu. C'est ésotérique, c'est une vision de l'univers, mais c'est assez joyeux pour les forces du mal.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Un sexe de femme. J'aurais pu le dire pour tous les dessins à cause de la pliure. C'est la tache la plus rigolote, d'autres étaient plus strictes, plus inquiétantes.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Argh en plus on peut
 même faire un éléphant, genre la
 trompe, la patte et tout ça, avec
 une espèce de truc là",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ça peut être des chevaux
 aussi",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mais un peu sur la même
 logique, en fait, je vais être
 honnête avec toi, ça m’a fait
 penser à un lapin maintenant je
 suis incapable de te le décrire, ah
 si peut être le nez un peu là
 (montre)
 Ce qui est assez drôle c’est du
 coup que là c’est l’oreille qui
 monte et tout ça, et la patte qui est
 un peu pas du bon côté quoi mais
 humm Au départ quand je pensais à un
 lapin, je ne le pensais pas mort
 (rires) c’est que une fois que
 t’essaies de te poser sur le truc
 que…",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Et là dans le sens-là (me
 montre la planche en la regardant
 lui à l’envers de ce qu’il voit) ça
 me fait penser, mais alors c’est
 marrant, parce que c’est pas une
 ombre c’est l’inverse en fait, c’est
 le négatif d’un mec avec un
 chapeau genre Napoléon tu vois,
 et là c’est son col tu vois avec le
 col remonté comme ça (fait les
 geste) pour avoir bien chaud,
 Il a un chapeau genre Napoléon tu
 vois, et derrière tu as la nuit et lui
 il est vachement éclairé au point
 qu’on ne voit pas son visage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Mais en fait, sur le
 principe ça me fait plus penser à
 une peinture, parce qu’en fait t’as
 des trucs qui seraient des…. Et ça
 coule en fait, genre tu vois tu as
 mis la peinture et machin, t’as fait
 ton Napoléon c’est cool et hop ça
 coule en fait (montre le dessous de
 l’image).",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Et aussi un éléphant, avec
 les yeux, la trompe là, mais faut
 occulter ça (cache le reste de
 l’image)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Et alors comme ça, ça
 fait vachement penser à un feu et
 encore plus que tout à l’heure car
 t’as la notion de vent qui va avec
 tu vois,",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T’as une petite île où t’as
 plein de fumée qui est émise et tu
 vois t’as trois événements de feu,
 ‘fin tu vois ou genre des
 bourrasques qui fait que ça s’est
 « dissocié » une première qui a
 fait une colonne de fumée là, une
 deuxième là et encore une là.
 T’as la notion de feu avec le vent
 du coup
 Et vu la forme ça peut même être
 un feu de camp en fait. T’as
 vraiment ce côté un peu arrondi-là
 de flamme qui fait ça. Et ça fait
 genre t’essayes de faire des
 signaux de fumée un truc comme
 ça",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Et maintenant que j’ai vu
 ça, de l’autre côté je vois
 exactement la même chose. Juste
 le vent est dans l’autre sens quoi Pour le coup je trouve que c’est
 assez joli la façon dont ça a été…
 C’est d’autant plus cohérent avec
 le fait que tu vois la fumée et après
 tout est blanc c’est-à-dire que ton
 feu de camp, c’est drôle parce
 qu’on ne voit pas les flammes,
 encore une incohérence mais il a
 vachement de lumière autour, tu
 vois.
 Après ça c’est surtout de la
 rationalisation parce que ce qu’on
 voit surtout c’est le feu.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ça me fait penser à un
 voilier aussi, mais alors là ne me
 demande pas où",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Je vois et c’est très joli ça
 un mix entre un ours et un chien,
 juste la tronche qui fait ours, mais
 là t’as vraiment des jambes fin’ je
 sais pas en plus comme c’est,
 vraiment bien foutu, là t’as
 l’ombre à l’intérieur celle-ci est
 légèrement plus foncée (montre
 les pattes).",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
": Donc en fait t’as une
 espèce de rocher là, sur lequel, il
 est en train d’avancer, celle-là (la
 patte) elle est un peu dans le vide
 et genre il atterri de l’autre côté C’est assez joli dans ce sens là",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"mais une fois encore ça
 me fait penser à un, merde,
 comment dire, un utérus pour le
 coup. Avec les trompes là (montre
 ours),",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ça, ça me fait penser à un
 squelette mais je pense que les
 côtés un peu couleur blanche m’y
 fait pas mal penser.
 Squelette un peu bizarre j’en
 conviens
 Là t’as les yeux le nez, ça fait
 genre tête de cerf un peu en
 squelette, un cerf un peu bizarre
 Ça, ça peut être des dents, c’est un
 animal bizarre qui est mi rongeur,
 tu vois parce que tu as les deux
 dents de devant qui font partie du
 squelette, les yeux là et en mode
 ça fait un peu peur, tu vois, parce
 que t’as les yeux je trouve un peu
 chelou, tu vois",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ça fait un peu labyrinthe
 de Pan",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
