Unnamed: 0,Réponse (French),Answer (English),Déterminant,Contenu
324,"Euh, au-dessus ça pourrait être un oiseau.","Um, above that could be a bird.",F-,A
325,"Après on pourrait voir aussi un insecte, hein toujours pareil, avec toujours les formes, voilà l’extrémité avec une espèce de pinces, euh, voilà la bouche, les antennes, fin. Ouais.","Afterwards we could also see an insect, eh always the same, always with the shapes, here is the end with a kind of pincers, uh, here is the mouth, the antennae, end. Yeah.",F-,A/Ad
326,"Je vois plein de choses maintenant (rires). Là deux visages, dos à dos, vraiment l’extrémité, les formes du visage. ","I see a lot of things now (laughs). There two faces, back to back, really the extremity, the shapes of the face.",KpE-,Hd
327,"Là on pourrait voir un animal, qui serait presque immergé dans de l’eau et y’aurait son reflet avec la tête, les yeux. Je le verrai assez allongé","There we could see an animal, which would be almost immersed in water and there would be its reflection with its head and eyes. I will see him long enough",KanC'E-,A/Elem/Ad
328,"Alors si, on peut, on pourrait imaginer deux, alors je sais pas si c’est des personnes ou des chats, j’arrive pas trop à… (rires). On va dire deux personnes face à face, en train de se regarder fin voilà euh…","So if we can, we could imagine two, so I don’t know if it’s people or cats, I can’t really… (laughs). We're going to say two people face to face, looking at each other, there you go, uh...",K+,H
329,"Ou alors peut-être des statues en sorte de, en personnes qui seraient posées voilà sur un socle euh. ","Or perhaps statues of a sort, in people who would be placed here on a base uh.",Kob+,Obj
330,"On pourrait voir une entrée pareil de, de porte ou je ne sais quoi, au milieu.","We could see an entrance like a door or something, in the middle.",F-,Arch
331,"Euh, pff, on pourrait voir même quatre personnes, je suis en train de voir, euh fin quatre visages, donc accrochés à, deux par deux, fin ils sont accrochés deux par deux, ouais.","Uh, pff, we could even see four people, I'm seeing, uh end four faces, so hanging on, two by two, end they are hanging two by two, yeah.",Kp-,Hd
332,"Euh alors, on pourrait voir euh…, deux animaux de chaque côté, alors après je sais pas trop quoi, mais bon à quatre pattes, des animaux à quatre pattes, après je quoi je sais pas trop quoi comme sortes d’animaux mais voilà des animaux.","Um then, we could see uh..., two animals on each side, so after that I don't really know what, but hey on four legs, four-legged animals, after that I don't really know what kind of animals but there you go animals.",F+/-,A
333,"Euh, ça pourrait être aussi un, au milieu donc euh un corps d’insecte voire peut-être un corps d’humain mais bon, faut être un peu imaginaire. Euh.","Um, it could also be one, in the middle so uh an insect body or even perhaps a human body but hey, you have to be a little imaginary. Uh.",F-,Ad/Hd
334,"Voilà si avec la colonne vertébrale au-dessus, fin sur le milieu.","That's if with the spine above, end on the middle.",F+,Anat
335,"Bon après ça peut être des roches, ça peut être euh., ça peut être des roches que les animaux montent dessus.","Well then it could be rocks, it could be uh., it could be rocks that the animals climb on.",Kan+/-,Frag
336,"Ça peut être ou des arbres ou de la végétation, ça peut être euh… Oui.","It could be either trees or vegetation, it could be uh… Yes.",C-,Bot
337,"Euh si, ça pourrait être toujours un insecte bien-sûr fin…","Um yes, it could still be a fine insect of course…",F-,A
338,"On pourrait imaginer une guitare au milieu. 

Euh. 
","You could imagine a guitar in the middle.

Uh.
",F+,Obj
339,"Deux visages un peu…, pas très nets, de chaque côté en vert.","Two faces a bit..., not very clear, on each side in green.",CF+,Hd
340,"On pourrait revoir un visage avec un petit corps, et puis de même de l’autre côté. C’est vraiment les yeux qui pourraient me faire penser…, avec le nez fin. Les nuances font ressortir des éléments du visage","We could see a face with a small body again, and then the same on the other side. It’s really the eyes that could make me think…, with the fine nose. Shades bring out facial features",EFC-,Hd
341,"Bah, on pourrait voir euh > < ^ des sortes d’araignées on pourrait voir. >","Well, we could see uh > < ^ some kinds of spiders we could see. >",FC+,A
342,"Deux visages qui, pareil, face à face, qui se regardent. Avec un corps allongé fin, un peu, bon voilà bien-sûr imaginaire.","Two faces, the same, face to face, looking at each other. With a thin, elongated body, a little, well that's of course imaginary.",Kp-,Hd
343,"Une euh, (soupir) un outil, une pince, fin une pince… Euh.","An uh, (sigh) a tool, a pair of pliers, a pair of pliers… Uh.",CF-,Obj
344,"Bah après c’est beaucoup euh fin, ouais des sortes d’araignées, araignées ou toiles d’araignées.","Well after that it's a lot uh end, yeah sort of spiders, spiders or cobwebs.",FC-,A/Ad
345,"Ça pourrait être aussi des feuilles, des feuilles d’arbre fin…","It could also be leaves, leaves of a fine tree...",C-,Bot
346,"On pourrait voir quatre visages là, fin deux de plus, alors là par contre qui ne se regardent pas, qui sont dos à dos.","We could see four faces there, or two more, so there on the other hand who are not looking at each other, who are back to back.",Kp-,Hd
347,"Je pourrais même dire encore plus (rires), euh, alors y’aurait quatre visages dos à dos, non même six. Et euh, quatre visages face à face qui se regardent. ^

Voilà, c’est tout bien.
","I could even say even more (laughs), uh, then there would be four faces back to back, not even six. And uh, four faces facing each other looking at each other. ^

That's it, that's all good.
",Kp-,Hd
355,Une chauve-souris,A bat,F+,A
356,Un scarabée,A beetle,F+,A
357,Une tache d'encre non de sang... ouais,An ink stain not blood...yeah,CF',Frag/Sg
358,On dirait que c’est une chauve-souris qui prend son envol et un scarabée en bas,It looks like it's a bat taking flight and a beetle below,kan,A
359,"Un monstre avec les yeux, la bouche et qui me regarde méchamment. Comme le clown de … vous savez Ça",A monster with eyes and a mouth that looks at me evilly. Like the clown from... you know that,kanclob,(H)/(Hd)/ Hbarré
360,Oh ! Du sang,Oh ! Some blood,C,Sg
361,L’os qu’on a dans le crâne,The bone we have in the skull,F-,Hd
362,Des taches de sang par exemple comme si on s’était scarifié et qu’on avait écrit sur un mur avec [mime la scarification sur le bras],Blood stains for example as if you had scarified yourself and had written on a wall with [mimes the scarification on the arm],KC,Frag/Sg
363,Deux petites têtes de cochons. Oui il y a ça.,Two little pig heads. Yes there is that.,F+,Ad
364,Comme si ça c’était des empreintes de pas et ça le sang qu’on a quand on s’est scarifié et ça a un peu goutté sur les pas.,As if those were footprints and that was the blood we got when we scarified ourselves and it dripped a little on the steps.,KC,Frag/Sg
365,"Un avion de chasse qui fait penser à l’armée, la guerre d’où le sang peut être.","A fighter plane that reminds us of the army, war where blood can be.",FC',Obj
366,Comme si les deux petits cochons se tapaient dans la main.,As if the two little pigs were high-fiving each other.,kan,A
367,"Un brouillard, des formes de monstres derrière où il y a le négatif, un brouillard qui cacherait certaines parties","A fog, shapes of monsters behind where there is the negative, a fog which would hide certain parts",kobclobE,Frag/(H)
368,Un papillon,A butterfly,F+,A
369,"Il y a toujours ces taches de sang après une … comme après une scarification, le sang coule alors qu’avant j’ai dit que le sang était mis sur le mur mais ici ça coule [mime la scarification sur le bras et le sang qui coule]","There are always these blood stains after a... like after a scarification, the blood flows whereas before I said that the blood was put on the wall but here it flows [mimes the scarification on the arm and the blood which flows]",kobclobE,Frag/Sg
370,La papillon est comme le sternum et ça le monstre qui m’emprisonne en permanence.,The butterfly is like the sternum and that is the monster that permanently imprisons me.,Kclob,Anat/(H)
371,"J’ai l’impression que c’est une représentation de mon corps, le cœur autour avec une ficelle, un cœur broyé.","I feel like it’s a representation of my body, the heart around it with a string, a crushed heart.",F-,Hd
372,Le monstre pour la dépression et le brouillard pour le fait que je suis perdu ou le masque pour montrer que je vais bien.,The monster for the depression and the fog for the fact that I'm lost or the mask to show that I'm okay.,clobF,(H)/Frag/Abs
373,"Je vois un énorme monstre. C’est la bête noire que j’ai au fond de moi avec la tête. Pour moi c’est la colère, la rage que j’ai au fond de moi. J’ai presque peur.","I see a huge monster. It’s the pet peeve that I have deep down in my head. For me it's the anger, the rage that I have deep inside me. I'm almost afraid.",Fclob,(H)/(A)/(Ad)
374,"C’est toute la noirceur, le vide, la noirceur que je ressens en permanence. Elle fait peur celle-là.","It’s all the darkness, the emptiness, the darkness that I feel all the time. That one is scary.",C'clob,Frag
375,Un monstre qui veut et qui m’engloutit. Elle fait peur celle-là.,A monster that wants and engulfs me. That one is scary.,Kclob,(H)
378,Je dirais un papillon qui vient à peine d’être transformé entre la larve et le papillon,I would say a butterfly which has just been transformed between the larva and the butterfly,kan,A
379,Je vois des ailes. Je ne sais pas sur celle-là.,I see wings. I don't know about that one.,F+,Ad
380,"Des ailes d’un papillon qui vient de se transformer qui part dans la vie mais il est noir. On dirait qu’il va affronter la vie mais pas tout à fait affronter car il est tout noir et n’a pas encore ses couleurs. C’est un peu moi face au monde extérieur. Il y a ce monstre d’avant qui m’empêche de prendre mon envol.

Voilà.","Wings of a butterfly which has just transformed which leaves in life but it is black. It looks like he is going to face life but not quite face it because he is all black and does not yet have his colors. It’s a bit like me facing the outside world. There is this monster from before which prevents me from taking flight.

So.",kanC',Ad/A
383,Une épée … le noir est moins intense.,A sword... black is less intense.,FC',Obj
384,"Je
vois le monstre d’avant [planche IV] comme si le papillon d’avant [planche V]
comme si l’épée était plantée dans le monstre et passait par le papillon qui
représenterait mon cœur.","I
see the monster from before [plate IV] as if the butterfly from before [plate V]
as if the sword was stuck in the monster and passed through the butterfly which
would represent my heart.",kobclob,(H)/A/Obj
385,J’ai l’impression que ça représente quand j’ai des crises d’angoisse …,I feel like that represents when I have anxiety attacks...,clobF,Frag
386,"Un couteau planté dans mon cœur. Il y a trop de noir, avant il y avait du rouge et de l’espace. Il n’y a plus d’espace, tout est noir, le cœur a été traversé par une épée.","A knife stuck in my heart. There is too much black, before there was red and space. There is no more space, everything is black, the heart has been pierced by a sword.",kob,Obj/Anat
387,Ça représente la mort puisque l’épée est en forme de croix … planter l’épée dans le cœur c’est tuer quelqu’un. C’est comme quand j’ai mes crises d’angoisse. Je pourrais l’afficher au mur et dire que c’est mes crises d’angoisse.,It represents death since the sword is in the shape of a cross... to plant the sword in the heart is to kill someone. It's like when I have my anxiety attacks. I could put it on the wall and say these are my anxiety attacks.,clobF,Abs/Obj/Symb
388,L’épée a une forme de croix mais et est vivante comme s’il avait une force supérieure qui déciderait et pas ma volonté comme si ça dépendait d’autre chose,The sword has the shape of a cross but is alive as if it had a superior force that would decide and not my will as if it depended on something else,kob,Obj/(H)/Abs
389,Hm … Je sais pas … ça m’angoisse un peu … l’image à trop de blanc et le noir n’est pas assez noir. Ça me fait penser à l’air car l’espace paraît fluide.,Hm... I don't know... it worries me a little... the image has too much white and the black is not black enough. It makes me think of air because the space seems fluid.,CF',Elem
390,"C’est la liberté qu’on respire frais le matin

Ouais franchement je ne sais pas

Elle [la planche] paraît innocente, ce gris est innocent par rapport aux autres images.

Je crois que c’est ce que cherchait, cette sensation de liberté que je n’ai pas connue. C’est ça qui me perturbe.","It’s the freedom that we breathe fresh in the morning

Yeah honestly I don't know

It [the board] seems innocent, this gray is innocent compared to the other images.

I think that’s what I was looking for, this feeling of freedom that I never knew. That's what bothers me.",K,Abs/Obj/Symb
394,Oh beaucoup de couleurs ! Des petites marmottes sur le côté,Oh lots of colors! Little marmots on the side,F+,A
395,Un crâne … os de chien. C’est coloré. Cette carte ne me comprend pas du tout. Limite ça m’angoisse car c’est ce que je n’ai jamais connu.,A skull… dog bone. It's colorful. This card doesn't understand me at all. It really scares me because it’s what I’ve never known.,F+,Ad
396,Mon corps qui se bataille et m’angoisse. Ce sont toutes les choses inaccessibles.,My body fighting and making me anxious. These are all things that are inaccessible.,Kclob,Hd
399,"Encore de la couleur [plisse les yeux pour montrer son mécontentement ou son malaise mais sourit] Des bois de cerf
","More color [squints to show displeasure or discomfort but smiles] Deer antlers
",F+,Ad
400,Une fusée qui décolle,A rocket taking off,kob,Obj
401,"L’avancée de la vie. Le rose des bébés. C’est la route de la vie et on arrive à l’orange, le côté rouge, sang de la mort","The progress of life. Baby pink. This is the road of life and we arrive at the orange, the red side, the blood of death",CF,Abs
402,La porte ouverte vers la suite. La vie après la mort enfin le paradis ou l’enfer … selon les croyances. Elle est positive cette image. Elle ne me fait pas vibrer comme les autres où je ressentais l’image. Ça me paraît tellement loin de moi.,The open door to the suite. Life after death finally paradise or hell... depending on beliefs. This image is positive. It doesn't thrill me like the others where I felt the image. It seems so far from me.,F-,Obj/Symb
403,Et encore le papillon là. Je sais pas,And there again the butterfly. I don't know,F-,A
404,"Ça me fait penser aussi à la liberté, pleine de comme …","It also makes me think of freedom, full of things like...",F-,Abs
405,"Vu qu’il y a plusieurs couleurs, c’est le fait d’être heureux, s’émerveiller devant chaque détail de la vie.","Since there are several colors, it is about being happy, marveling at every detail of life.",KC,Abs
406,Le rose comme si la vie est belle.,Pink as if life is beautiful.,CF,Abs
407,"Le rose des marmottes comme quand les bébés naissants, ils sont un peu violacés. J’ai du mal sur cette plan [commence à dire le mot planche sans terminer le mot] … les couleurs

Je sais pas … franchement je sais pas
","The pink of marmots like when babies are born, they are a little purplish. I have difficulty on this level [starts to say the word board without finishing the word]… the colors

I don't know... honestly I don't know
",CF,Abs/A/Henf
408,"Elle est belle celle-là
Un champ de fleurs
","She's beautiful that one
A field of flowers
",F+-,Bot
409,"Des feux d’artifice. Avec ces différentes couleurs, cela me fait penser à savourer les petits moments de la vie vous savez comme quand on dit de profiter des petits moments dans la vie.","Fireworks. With these different colors, it makes me think of savoring the little moments in life you know like when we say to enjoy the little moments in life.",F+-,Elem/Frag
410,"C’est une image positive que j’arrive à accepter. Je ne suis pas choquée comme pour les autres, où il y avait comme une barrière. Celle-là m’inspire le positif, la vie avec un grand V si je puis dire, le fait d’aller mieux comme si la vie est un bouquet final avec des moments où ça pétille et des moments où ça pétille moins. J’aime bien cette image.","It’s a positive image that I can accept. I'm not shocked like the others, where there was a barrier. This inspires me with positivity, life with a capital T if I may say so, the fact of getting better as if life is a final bouquet with moments where it sparkles and moments when it sparkles less. I like this image.",kob,Abs
411,"Et on pourrait dire que les lignes roses sont le parcours que je fais ici en tout cas, comme si je renaissais.","And you could say that the pink lines are the journey I'm taking here anyway, as if I'm being reborn.",KC,Abs
412,Là je vois des oiseaux.,There I see birds.,F+,A
413,"Le vert, des arbres, la sensation de calme en forêt


C’est apaisant je trouve [la planche]
","Green, trees, the feeling of calm in the forest


I find it calming [the board]
",FC,Bot/Abs
414,"Je vois plein de choses en même temps… Des sortes de fées.
  Ca ressemble pas à grand-chose
  Des fées sur une fontaine ou qui transportent une robe
 C’est stressant un peu !
 
 
 Et comment on fait les tâches ?","I see lots of things at the same time... Kinds of fairies.
  It doesn't look like much
  Fairies on a fountain or carrying a dress
 It’s a bit stressful!
 
 
 And how do we do the tasks?",Kclob,(H)
415,"Un chemin qui mène à un château avec des escaliers.
 J’ai de l’imagination, quand même !","A path that leads to a castle with stairs.
 I have an imagination, all the same!",F-,Arch
416,"Non c’est pas des cochons… un sorte de lapin, non, des ânes, des bébés ânes.","No, it's not pigs... a kind of rabbit, no, donkeys, baby donkeys.",F-,Aenf
417,"Et des mains… qui portent un verre.
 
 J’ai de l’imagination, quand même !","And hands... holding a glass.
 
 I have an imagination, all the same!",kp,Hd
418,Ah ! Ca fait peur !Je viens de penser à un truc bizarre. Deux femmes qui se regardent.,Ah! It's scary! I just thought of something weird. Two women looking at each other.,K,H
419,Un papillon au milieu.,A butterfly in the middle.,F+,A
420,"Des sortes de fourmis ou d’insectes. Elles ont un bec, des madames oiseaux.
 
 C’est bizarre et stressant en même temps.","Kinds of ants or insects. They have a beak, lady birds.
 
 It's weird and stressful at the same time.",Fclob,A
421,"*Rit* Grimace* J’arrive pas à voir. Une sorte d’alien avec une grosse veste. Oui, c’est ça. La reine des aliens.",*Laughs* Grimace* I can’t see. A kind of alien with a big jacket. Yes that's it. The queen of the aliens.,F+,(H)
422,"Un sorte d’insecte qui vole. Oui, un papillon. Non, pas vraiment, une créature qui peut voler.","A kind of insect that flies. Yes, a butterfly. No, not really, a creature that can fly.",F+,A
423,"Un insecte qui sort d’un trou, une sorte de créature marine qui sort d’un trou…","An insect coming out of a hole, a kind of sea creature coming out of a hole...",kan,A
424,qui sort de la bouche d’un gros animal.,that comes out of the mouth of a large animal.,kan,A
425,"J’arrive pas à voir, on dirait un sorte de grand truc, de portail. On passe dessous…","I can't see, it looks like some sort of big thing, a portal. We go underneath…",F+/-,Arch
426,qui tient avec des lions en robe.,which hangs with lions in robes.,F-,A
427,"Waouh c’est coloré ! C’est le reflet d’un animal sur l’eau, qui est en train de marcher.","Wow, it’s colorful! It is the reflection of an animal on the water, which is walking.",kanE,A
428,"Y a une explosion, on voit l’explosion sortir du trou, une explosion de couleurs. Pfiou ! Du rose. Ca c’est le volcan, ce qu’il y a à l’intérieur, et ça l’explosion.","There is an explosion, we see the explosion coming out of the hole, an explosion of colors. Phew! Pink. That’s the volcano, what’s inside, and that’s the explosion.",FC,Geo
429,"J’arrive pas à voir ce que c’est. On dirait… pas des pélicans, les trucs roses de mer. Heu… je sais plus comment ça s’appelle. Un animal de mer avec une tête de singe qui souffle dans un coquillage pour faire du bruit.","I can't see what it is. They look like... not pelicans, the pink sea things. Um... I don't know what they're called. A sea animal with a monkey head that blows into a shell to make noise.",kanC,A
430,Et des petites souris plus loin.,And little mice further on.,FC,A
516,"Un insecte avec deux grandes ailes, petites mandibules. C'est dur de voir autre chose, quand on a déjà vu quelque chose.","An insect with two large wings, small mandibles. It's hard to see something else when you've already seen something.",F+-,A
517,Pas des masses... à la limite un casque de guerrier antique.,Not masses... almost an ancient warrior's helmet.,F+-,Obj
521,"Moi qui pensais avoir de l'imagination ! Deux jambes serrées, avec les contours, deux gros croquenots, un peu style B.D.","I thought I had imagination! Two tight legs, with the contours, two big croquenots, a bit comic book style.",kp-stat,Hd
522,"Les deux taches rouges, deux profils qui se regardent : oeil, sourcil, narine.","The two red spots, two profiles looking at each other: eye, eyebrow, nostril.",kp+stat,Hd
523,Elle ne m'inspire pas grand-chose. Une tête d'insecte avec des antennes,She doesn't inspire me much. An insect head with antennae,F-,Ad
524,Ah ! Un sexe de femme,Ah! A woman's penis,F+,Sex
525,Et en dessous le bout d'un sexe d'homme avec le prépuce remonté... Je n'avais pas fait gaffe.,And below the tip of a man's penis with the foreskin pulled up... I wasn't careful.,F-,Sex
526,"ça c'est rigolo ! Les taches noires, deux Africaines en train de moudre le mil.","That’s funny! The black spots, two African women grinding millet.",K+C',Hd
527,ça on dirait un peu deux guitares électriques.,It looks a bit like two electric guitars.,F-,Obj
528,"Dans l'autre sens, encore un insecte : tête, mandibules, pattes de chaque côté.","In the other direction, another insect: head, mandibles, legs on each side.",F+,A
531,"Dans les deux sens, aussi une tête d'insecte, c'est le côté déchiqueté des formes qui doit faire ça.","In both directions, also an insect head, it's the jagged side of the shapes that must do that.",F+-,Ad
532,Une caricature de la botte italienne,A caricature of the Italian boot,F+,Géo
533,Une tête de chien avec le museau et les babines,A dog's head with muzzle and lips,F+,Ad
534,Deux têtes d'éléphants avec la trompe qui monte.,Two elephant heads with rising trunks.,kan-,Ad
535,"En haut, deux têtes de dromadaire avec l'avancée de l'arcade sourcilière.","At the top, two camel heads with the protrusion of the brow bone.",F-,Ad
536,Un papillon.,A butterfly.,F+,A
537,Une chauve-souris,A bat,F+,A
538,"Un goéland qui crie, les ailes ouvertes.","A screaming gull, wings open.",kan+,A
539,"Un lapin écrasé sur la route, oreilles et pattes","A rabbit crushed on the road, ears and legs",ClobF,A
541,"ça pourrait être une peau de bête, tête, museau, moustache. Je ne vois que des animaux.","it could be an animal skin, head, muzzle, mustache. I only see animals.",F+,A
542,C'est dur de voir un avion à réaction là-dedans.,It's hard to see a jet in there.,F-,Obj
546,"En haut, deux poings avec le pouce levé.","At the top, two fists with thumbs up.",kp-,Hd
547,"Deux personnages qui se tournent le dos. Ils sont de profil, mèche en avant baissant légèrement la tête.","Two characters with their backs to each other. They are in profile, head forward, slightly lowering their heads.",Kstat+,H
551,"Un animal qui saute, qui enjambe quelque chose, un félin.","An animal that jumps, that steps over something, a feline.",kan+,A
553,Une fleur d'orchidée,An orchid flower,F-C,Bot
554,Un sexe de femme avec le pubis.,A woman's penis with pubis.,F-,Sex
557,"A la limite, les deux taches vertes, des profils d'ours avec la petite oreille.","At the limit, the two green spots, the profiles of a bear with a little ear.",F+,Ad
562,"Un homme qui descend du ciel avec de grandes ailes, qui va atterrir, un cosmonaute. A la place du parachute il y a les ailes.","A man coming down from the sky with big wings, who is going to land, a cosmonaut. Instead of the parachute there are wings.",K-,H
563,"Au milieu un visage dessiné par un enfant : les yeux jaunes, les sourciles, la bouche.","In the middle a face drawn by a child: yellow eyes, eyebrows, mouth.",F+C,Hd
564,"C'est marrant, ce dessin... Quelque chose de... en rapport avec la cosmogonie, la galaxie, un feu d'artifice.","It's funny, this drawing... Something... related to cosmogony, the galaxy, fireworks.",kob +- C,Explosion
565,"ça pourrait être le visage du diable avec des cornes et, au-dessus un ange, un ange déchu. C'est ésotérique, c'est une vision de l'univers, mais c'est assez joyeux pour les forces du mal.","it could be the face of the devil with horns and, above it, an angel, a fallen angel. It's esoteric, it's a vision of the universe, but it's happy enough for the forces of evil.",F+C,(H)
566,"Un sexe de femme. J'aurais pu le dire pour tous les dessins à cause de la pliure. C'est la tache la plus rigolote, d'autres étaient plus strictes, plus inquiétantes.","A woman's penis. I could have said this for all the drawings because of the folding. This is the funniest task, others were stricter, more worrying.",F-,Sex
0,"Argh en plus on peut
 même faire un éléphant, genre la
 trompe, la patte et tout ça, avec
 une espèce de truc là","Argh in addition one can
 even make an elephant, like the trunk
 trunk, the leg and all that, with
 one of these",F-,A
1,"Ça peut être des chevaux
 aussi","It can be horses
 also",F-,A
2,"Mais un peu sur la même
 logique, en fait, je vais être
 honnête avec toi, ça m’a fait
 penser à un lapin maintenant je
 suis incapable de te le décrire, ah
 si peut être le nez un peu là
 (montre)
 Ce qui est assez drôle c’est du
 coup que là c’est l’oreille qui
 monte et tout ça, et la patte qui est
 un peu pas du bon côté quoi mais
 humm Au départ quand je pensais à un
 lapin, je ne le pensais pas mort
 (rires) c’est que une fois que
 t’essaies de te poser sur le truc
 que…","But on the same
 logic, in fact, I'll be honest with you
 honest with you, it made me
 reminded me of a rabbit
 unable to describe it to you, ah
 if perhaps the nose a little there
 (watch)
 The funny thing is
 the ear that's going up and
 and all that, and the paw which is
 a bit on the wrong side but
 humm At first, when I thought of a
 rabbit, I didn't think it was dead
 (laughs) it's just that once
 you try to land on the thing
 that..",F-,(A)
3,"Et là dans le sens-là (me
 montre la planche en la regardant
 lui à l’envers de ce qu’il voit) ça
 me fait penser, mais alors c’est
 marrant, parce que c’est pas une
 ombre c’est l’inverse en fait, c’est
 le négatif d’un mec avec un
 chapeau genre Napoléon tu vois,
 et là c’est son col tu vois avec le
 col remonté comme ça (fait les
 geste) pour avoir bien chaud,
 Il a un chapeau genre Napoléon tu
 vois, et derrière tu as la nuit et lui
 il est vachement éclairé au point
 qu’on ne voit pas son visage","And here in this sense (shows me
 shows me the board
 him upside down with what he sees) it
 makes me think, but then it's
 funny, because it's not a
 shadow, it's the opposite, in fact
 the negative of a guy with a hat
 hat like Napoleon, you see,
 and here's his collar, you see, with the
 collar pulled up like this (gestures
 gestures) to keep warm,
 He's wearing a hat like Napoleon, you
 you know, and behind you've got the night and he's
 he's so brightly lit
 you can't see his face",FC’E+,H / Vêt
4,"Mais en fait, sur le
 principe ça me fait plus penser à
 une peinture, parce qu’en fait t’as
 des trucs qui seraient des…. Et ça
 coule en fait, genre tu vois tu as
 mis la peinture et machin, t’as fait
 ton Napoléon c’est cool et hop ça
 coule en fait (montre le dessous de
 l’image).","But in fact, in principle
 principle, it reminds me more of a painting
 a painting, because in fact you have
 things that would be .... And it
 actually flows, like you know you put the paint
 paint and stuff, you've made
 your Napoleon, it's cool, and then it just
 flows in fact (shows the underside
 image).",kobC’E-,Frag / Art
5,"Et aussi un éléphant, avec
 les yeux, la trompe là, mais faut
 occulter ça (cache le reste de
 l’image)","And also an elephant, with
 the eyes, the trunk there, but
 obscure that (hides the rest
 image)",F+,A
6,"Et alors comme ça, ça
 fait vachement penser à un feu et
 encore plus que tout à l’heure car
 t’as la notion de vent qui va avec
 tu vois,","And then like that, it
 a fire, and even more so
 even more than before, because
 you have the notion of wind that goes with it
 you see,",kob -,Elem
7,"T’as une petite île où t’as
 plein de fumée qui est émise et tu
 vois t’as trois événements de feu,
 ‘fin tu vois ou genre des
 bourrasques qui fait que ça s’est
 « dissocié » une première qui a
 fait une colonne de fumée là, une
 deuxième là et encore une là.
 T’as la notion de feu avec le vent
 du coup
 Et vu la forme ça peut même être
 un feu de camp en fait. T’as
 vraiment ce côté un peu arrondi-là
 de flamme qui fait ça. Et ça fait
 genre t’essayes de faire des
 signaux de fumée un truc comme
 ça","You've got a little island where you've got
 a lot of smoke is emitted and you
 see three fire events,
 end you see or like
 gusts of wind that cause it to ""dissociate""
 ""dissociated"", the first one
 a column of smoke here, a second
 a second one here and another one there.
 You have the notion of fire with the wind
 now
 And given the shape, it could even be
 a campfire in fact. You've got
 really that slightly rounded side
 of flame. And it's like
 like you're trying to make
 smoke signals or something
 it",kobE-,Pays/ Elem
8,"Et maintenant que j’ai vu
 ça, de l’autre côté je vois
 exactement la même chose. Juste
 le vent est dans l’autre sens quoi Pour le coup je trouve que c’est
 assez joli la façon dont ça a été…
 C’est d’autant plus cohérent avec
 le fait que tu vois la fumée et après
 tout est blanc c’est-à-dire que ton
 feu de camp, c’est drôle parce
 qu’on ne voit pas les flammes,
 encore une incohérence mais il a
 vachement de lumière autour, tu
 vois.
 Après ça c’est surtout de la
 rationalisation parce que ce qu’on
 voit surtout c’est le feu.","And now that I've seen
 this, on the other side I see
 exactly the same thing. Just
 the wind's in the other direction, you see
 pretty the way it was..
 It's all the more coherent with the fact
 the fact that you see the smoke and then
 everything's white, in other words, your
 campfire, it's funny because
 you can't see the flames,
 another inconsistency, but it's got
 a lot of light around it, you
 you see.
 After that, it's mostly
 rationalization because what we
 is the fire.",kob-,Elem
9,"Ça me fait penser à un
 voilier aussi, mais alors là ne me
 demande pas où","It reminds me of a
 sailboat too, but then don't ask me
 ask me where",FC’-,Obj
10,"Je vois et c’est très joli ça
 un mix entre un ours et un chien,
 juste la tronche qui fait ours, mais
 là t’as vraiment des jambes fin’ je
 sais pas en plus comme c’est,
 vraiment bien foutu, là t’as
 l’ombre à l’intérieur celle-ci est
 légèrement plus foncée (montre
 les pattes).","I can see it, and it's very pretty
 a mix between a bear and a dog,
 just the bear face, but
 but you've got really slender legs
 i don't know what it is,
 really well-built, you've got
 the shadow on the inside, this one's
 slightly darker (shows
 the legs).",FCE+/-,(A)
11,": Donc en fait t’as une
 espèce de rocher là, sur lequel, il
 est en train d’avancer, celle-là (la
 patte) elle est un peu dans le vide
 et genre il atterri de l’autre côté C’est assez joli dans ce sens là",": So in fact you have a
 kind of rock there, on which he's
 is moving forward, this one (the
 paw) is kind of in the void
 and it kind of lands on the other side It's pretty in that sense",kanC +,Nat / A
12,"mais une fois encore ça
 me fait penser à un, merde,
 comment dire, un utérus pour le
 coup. Avec les trompes là (montre
 ours),","but then again it
 reminds me of a, shit,
 how do you say, a uterus for the
 uterus. With the tubes there (shows
 bear),",CF-,Anat
13,"Ça, ça me fait penser à un
 squelette mais je pense que les
 côtés un peu couleur blanche m’y
 fait pas mal penser.
 Squelette un peu bizarre j’en
 conviens
 Là t’as les yeux le nez, ça fait
 genre tête de cerf un peu en
 squelette, un cerf un peu bizarre
 Ça, ça peut être des dents, c’est un
 animal bizarre qui est mi rongeur,
 tu vois parce que tu as les deux
 dents de devant qui font partie du
 squelette, les yeux là et en mode
 ça fait un peu peur, tu vois, parce
 que t’as les yeux je trouve un peu
 chelou, tu vois","That reminds me of a
 skeleton, but I think the
 white sides remind me
 reminds me of it.
 A rather bizarre skeleton, I agree
 agree
 Here you've got the eyes and the nose, it looks
 kind of stag's head, a bit like a
 skeleton, a bit of a weird deer
 This could be teeth, it's a weird animal
 animal that's half rodent,
 you know, because you've got the two
 front teeth that are part of the
 skeleton, the eyes here and
 it's a bit frightening, you see, because
 because I find your eyes a bit
 weird, you know",FC’Clob-,Squel /Ad
